NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Jhon Lucumí,29,2287,0.04,0.04,0.00,0.31,0.08,12.50%,0.12,13.62,138.3,10.2,7.04,61.8,0.3,0.04,0.00,0.04,0.00,41,32,133,14,101,109,65,59.6%,72,42,58.3%,63.75,57.10,89.6%,7.71,5.00,64.8%,0.04,0.04,100.0%,0.04
Johan Vásquez,36,3217,0.03,0.04,-0.01,0.67,0.17,4.17%,0.05,15.08,160.5,10.6,7.89,79.6,0.3,0.00,0.00,0.08,0.00,59,45,122,27,154,168,112,66.7%,155,73,47.1%,55.78,47.73,85.6%,8.95,5.37,60.0%,0.67,0.14,20.8%,0.00
Jonathan David,35,1782,0.30,0.44,-0.14,2.07,0.81,14.63%,0.21,7.12,76.7,10.8,3.94,42.3,0.5,0.45,0.10,0.15,0.00,17,5,61,0,5,130,49,37.7%,63,17,27.0%,26.46,20.86,78.8%,12.42,9.29,74.8%,0.35,0.00,0.0%,0.30
Jonathan Rowe,28,1611,0.17,0.22,-0.06,2.68,0.95,6.25%,0.08,15.20,192.8,12.7,7.32,83.7,0.6,1.40,0.00,0.56,0.00,21,8,66,0,3,222,119,53.6%,44,16,36.4%,21.68,17.54,80.9%,10.84,7.93,73.2%,2.91,0.67,23.1%,0.17
Jordan Zemura,17,1127,0.00,0.04,-0.04,0.40,0.08,0.00%,0.09,8.86,101.7,11.5,5.03,55.5,0.9,0.00,0.00,0.16,0.00,31,7,46,3,27,118,51,43.2%,23,7,30.4%,26.59,19.57,73.6%,10.78,7.51,69.6%,2.32,0.64,27.6%,0.08
Josh Doig,30,1919,0.00,0.03,-0.03,0.52,0.19,0.00%,0.06,8.58,114.4,13.3,5.25,63.3,0.6,0.09,0.00,0.23,0.00,33,23,63,12,54,116,60,51.7%,61,29,47.5%,34.33,28.14,82.0%,7.88,5.53,70.2%,1.78,0.61,34.2%,0.05
João Mário,20,994,0.09,0.03,0.07,0.63,0.18,14.29%,0.04,15.39,197.8,12.9,10.14,135.4,1.2,0.09,0.00,0.36,0.00,14,13,43,3,13,102,60,58.8%,14,6,42.9%,44.55,34.95,78.5%,14.85,11.23,75.6%,1.81,0.63,35.0%,0.09
Juan Cuadrado,19,491,0.18,0.18,0.01,1.83,0.37,10.00%,0.10,17.23,181.4,10.5,10.08,109.2,2.0,0.73,0.00,0.92,0.00,18,4,29,2,7,91,47,51.6%,6,2,33.3%,39.59,32.26,81.5%,12.83,8.07,62.9%,4.95,1.65,33.3%,0.00
Juan Jesus,24,1678,0.00,0.02,-0.02,0.16,0.00,0.00%,0.11,12.66,119.8,9.5,5.20,44.8,0.5,0.00,0.00,0.11,0.00,40,27,87,11,61,88,42,47.7%,69,35,50.7%,74.12,67.85,91.5%,5.63,4.18,74.3%,0.05,0.00,0.0%,0.00
Juan Miranda,32,2573,0.03,0.02,0.01,0.45,0.17,7.69%,0.05,9.90,109.8,11.1,6.05,63.5,0.4,0.17,0.03,0.49,0.07,49,35,115,4,74,144,92,63.9%,62,34,54.8%,50.93,42.39,83.2%,15.15,11.30,74.6%,4.06,0.94,23.3%,0.14
