NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Jon Moncayola,36,3028,0.00,0.06,-0.06,0.68,0.15,0.00%,0.09,7.70,81.3,10.6,4.19,36.9,0.3,0.06,0.00,0.30,0.03,1.63,0.68,4.79,0.18,1.46,5.41,2.38,44.0%,1.01,0.54,52.9%,41.25,33.05,80.1%,13.08,8.77,67.0%,3.03,0.59,19.6%,0.06
Jon Olasagasti,33,1729,0.05,0.13,-0.07,1.46,0.47,3.57%,0.09,8.59,87.9,10.2,5.31,54.3,0.5,0.26,0.00,0.47,0.00,1.46,0.73,4.11,0.36,1.20,7.34,3.80,51.8%,2.76,1.51,54.7%,34.67,26.23,75.7%,13.48,8.59,63.7%,1.82,0.47,25.7%,0.21
Jon Pacheco,22,1734,0.00,0.02,-0.02,0.21,0.05,0.00%,0.07,11.21,122.1,10.9,6.49,71.0,0.6,0.00,0.00,0.10,0.00,1.87,0.57,3.63,1.04,5.35,3.84,2.34,60.8%,3.48,2.18,62.7%,48.74,42.15,86.5%,7.99,4.83,60.4%,0.21,0.05,25.0%,0.05
Jones El Abdellaoui,22,668,0.27,0.35,-0.08,2.29,0.54,11.76%,0.15,13.47,200.5,14.9,9.57,151.4,2.1,1.35,0.13,0.67,0.00,0.81,0.40,3.37,0.00,1.62,8.35,2.69,32.3%,1.75,0.81,46.2%,19.27,16.03,83.2%,9.03,7.54,83.6%,4.04,0.81,20.0%,0.13
Jonny,34,2998,0.00,0.02,-0.02,0.27,0.09,0.00%,0.06,13.54,146.6,10.8,8.02,77.6,0.3,0.09,0.00,0.18,0.00,1.98,1.23,4.68,0.42,1.89,6.78,3.63,53.5%,1.44,0.78,54.2%,52.75,45.69,86.6%,12.10,9.10,75.2%,0.72,0.21,29.2%,0.06
Jorge Herrando,28,1598,0.00,0.02,-0.02,0.17,0.00,0.00%,0.10,7.88,66.2,8.4,2.82,23.2,0.5,0.00,0.00,0.06,0.00,1.80,1.01,2.14,0.62,6.08,4.28,2.37,55.3%,2.82,1.58,56.0%,39.54,34.02,86.0%,3.94,2.20,55.7%,0.06,0.00,0.0%,0.00
Jorge de Frutos,36,2483,0.36,0.39,-0.02,2.28,1.01,15.87%,0.17,6.74,80.6,11.9,4.64,54.2,0.4,0.54,0.00,0.47,0.00,1.12,0.40,2.50,0.00,0.43,7.83,3.52,44.9%,1.85,0.69,37.3%,14.39,10.95,76.1%,6.92,4.60,66.5%,1.70,0.36,21.3%,0.07
Josan,19,554,0.00,0.04,-0.04,0.49,0.16,0.00%,0.09,17.22,190.5,11.1,9.42,79.7,1.4,0.16,0.00,1.79,0.32,1.95,0.81,3.90,0.16,0.81,6.66,4.06,61.0%,0.81,0.16,20.0%,40.13,35.90,89.5%,19.17,16.08,83.9%,9.58,2.60,27.1%,0.00
Joseph Aidoo,8,639,0.00,0.03,-0.03,0.28,0.00,0.00%,0.12,8.03,67.0,8.3,3.80,25.9,1.0,0.00,0.00,0.00,0.00,0.99,1.27,3.66,0.28,5.92,2.11,1.27,60.0%,3.38,1.69,50.0%,55.07,51.27,93.1%,3.52,2.68,76.0%,0.00,0.00,0.0%,0.00
Josip Brekalo,14,483,0.00,0.05,-0.05,1.68,0.56,0.00%,0.03,14.35,173.6,12.1,5.40,52.5,1.8,0.37,0.00,1.12,0.00,2.24,0.56,4.66,0.00,0.19,8.01,4.10,51.2%,0.93,0.00,0.0%,38.94,28.32,72.7%,16.96,12.30,72.5%,2.98,0.56,18.8%,0.37
José Gayà,32,2461,0.04,0.03,0.01,0.48,0.11,7.69%,0.06,8.12,89.3,11.0,4.02,36.8,0.3,0.04,0.00,0.26,0.00,2.52,0.84,3.88,0.26,3.15,6.14,3.66,59.5%,1.46,0.84,57.5%,33.79,28.34,83.9%,9.98,7.39,74.0%,3.22,0.69,21.6%,0.07
José María Giménez,16,1177,0.00,0.13,-0.13,0.99,0.23,0.00%,0.13,9.94,91.5,9.2,5.43,46.3,0.7,0.00,0.00,0.00,0.00,1.91,1.22,3.59,0.92,4.89,5.20,2.83,54.4%,5.66,2.83,50.0%,61.33,55.28,90.2%,8.49,6.19,73.0%,0.00,0.00,0.0%,0.00
José Ángel Carmona,35,2564,0.04,0.03,0.01,0.70,0.11,5.00%,0.04,11.37,135.6,11.9,6.99,84.2,0.4,0.25,0.04,0.25,0.11,2.28,1.37,5.12,0.28,2.49,8.92,4.46,50.0%,2.25,1.58,70.3%,40.86,33.21,81.3%,11.34,7.90,69.7%,1.68,0.46,27.1%,0.07
João Cancelo,16,952,0.19,0.05,0.14,1.23,0.38,15.38%,0.04,17.87,213.2,11.9,11.82,127.0,1.0,0.47,0.19,0.38,0.00,2.55,0.95,5.39,0.19,1.61,11.25,6.24,55.5%,1.23,0.66,53.8%,51.62,45.00,87.2%,16.92,12.76,75.4%,2.55,0.76,29.6%,0.47
Juan Cruz,15,646,0.00,0.05,-0.05,0.14,0.00,0.00%,0.39,5.71,65.5,11.5,3.20,40.4,1.8,0.00,0.00,0.00,0.00,0.56,0.56,2.51,0.84,3.48,2.23,1.11,50.0%,1.39,0.70,50.0%,33.02,29.12,88.2%,5.15,3.76,73.0%,0.70,0.28,40.0%,0.00
Juan Foyth,13,936,0.00,0.01,-0.01,0.19,0.00,0.00%,0.06,11.15,116.1,10.4,6.83,66.8,0.9,0.00,0.00,0.00,0.00,1.92,1.54,4.42,0.96,5.38,3.37,2.31,68.6%,1.54,0.87,56.3%,54.33,48.75,89.7%,6.44,4.33,67.2%,0.10,0.10,100.0%,0.19
Juan Iglesias,37,3189,0.03,0.03,-0.00,0.73,0.14,3.85%,0.04,6.46,69.2,10.7,3.64,38.4,0.3,0.17,0.00,0.06,0.00,3.16,0.71,3.05,0.31,3.98,10.30,5.95,57.8%,2.06,0.90,43.8%,24.38,15.69,64.3%,9.51,5.11,53.7%,2.99,0.62,20.8%,0.03
Juanlu Sánchez,32,1993,0.00,0.04,-0.04,0.63,0.05,0.00%,0.06,10.39,128.2,12.3,7.00,78.9,0.5,0.18,0.00,0.32,0.09,2.84,0.54,4.65,0.00,1.45,10.16,5.96,58.7%,1.94,0.81,41.9%,34.50,28.72,83.3%,12.87,9.93,77.2%,2.66,0.81,30.5%,0.00
Jude Bellingham,28,1917,0.28,0.34,-0.06,2.39,1.22,11.76%,0.14,17.32,186.0,10.7,7.18,73.0,0.5,0.61,0.09,0.38,0.09,2.39,0.66,4.93,0.09,0.85,11.55,6.67,57.7%,2.86,1.64,57.4%,55.26,49.30,89.2%,20.99,17.14,81.7%,0.75,0.19,25.0%,0.19
Jules Koundé,30,2261,0.04,0.07,-0.03,0.56,0.16,7.14%,0.12,13.41,123.8,9.2,7.80,67.4,0.3,0.08,0.00,0.16,0.00,1.87,1.19,3.62,0.48,2.19,6.81,3.66,53.8%,2.47,1.39,56.5%,76.51,70.06,91.6%,20.18,16.96,84.0%,1.59,0.48,30.0%,0.12
Julián Alvarez,29,1902,0.38,0.36,0.01,2.56,1.23,14.81%,0.14,12.59,150.9,12.0,6.10,60.9,0.5,0.47,0.05,0.66,0.05,0.99,0.14,2.41,0.00,0.24,7.15,3.08,43.0%,1.14,0.24,20.8%,32.60,27.21,83.5%,16.47,12.82,77.9%,1.04,0.33,31.8%,0.47
Junior Firpo,12,832,0.00,0.05,-0.05,0.54,0.00,0.00%,0.09,6.71,64.2,9.6,4.33,38.0,1.0,0.00,0.00,0.00,0.00,2.60,1.08,2.92,0.11,3.79,6.92,3.89,56.3%,2.27,1.51,66.7%,41.43,35.05,84.6%,11.25,8.87,78.8%,2.06,0.54,26.3%,0.11
Kareem Tunde,21,1144,0.00,0.09,-0.09,1.65,0.24,0.00%,0.05,7.71,77.6,10.1,3.30,27.4,0.7,0.79,0.00,0.08,0.00,1.81,1.18,4.17,0.00,0.24,8.97,4.80,53.5%,2.52,0.94,37.5%,17.62,13.61,77.2%,6.53,4.48,68.7%,0.87,0.08,9.1%,0.00
Karl Etta Eyong,33,1668,0.38,0.47,-0.09,2.70,1.29,14.00%,0.17,5.83,60.1,10.3,2.91,31.2,0.6,0.38,0.05,0.16,0.11,1.46,0.32,2.97,0.05,0.97,8.42,3.88,46.2%,5.02,1.83,36.6%,15.27,10.52,68.9%,6.80,4.05,59.5%,0.70,0.05,7.7%,0.05
Kervin Arriaga,27,1526,0.18,0.06,0.12,0.94,0.35,18.75%,0.06,11.21,112.5,10.0,4.13,36.1,0.5,0.12,0.00,0.24,0.12,2.42,0.83,5.25,0.83,3.60,7.67,4.13,53.8%,4.36,2.77,63.5%,42.23,34.97,82.8%,9.97,6.49,65.1%,0.29,0.18,60.0%,0.12
Kike García,37,1727,0.42,0.46,-0.04,3.13,1.41,13.33%,0.15,4.43,47.8,10.8,1.93,9.5,0.3,0.16,0.05,0.16,0.00,0.63,0.31,2.50,0.05,1.04,7.09,3.28,46.3%,9.43,4.69,49.7%,20.27,13.13,64.8%,9.17,4.79,52.3%,0.94,0.05,5.6%,0.16
Kike Salas,26,2203,0.08,0.06,0.02,0.78,0.33,10.53%,0.08,11.11,106.7,9.6,5.88,64.7,0.4,0.04,0.04,0.00,0.00,2.41,1.51,4.45,0.74,6.66,5.68,3.31,58.3%,5.64,3.92,69.6%,55.93,44.86,80.2%,9.80,5.07,51.7%,0.41,0.08,20.0%,0.00
Kiko Femenía,28,2020,0.04,0.03,0.01,0.36,0.13,12.50%,0.09,6.64,75.8,11.4,3.34,34.4,0.5,0.04,0.00,0.22,0.00,1.74,1.51,4.46,0.09,1.96,5.12,2.54,49.6%,1.65,0.80,48.6%,26.78,20.72,77.4%,9.98,6.68,67.0%,1.87,0.45,23.8%,0.09
Koke,34,2220,0.08,0.03,0.05,0.57,0.16,14.29%,0.05,14.55,147.2,10.1,7.54,68.7,0.4,0.00,0.00,0.08,0.00,2.03,0.73,5.31,0.28,1.01,6.12,3.04,49.7%,1.18,0.53,44.8%,77.31,71.07,91.9%,21.93,18.45,84.1%,1.22,0.28,23.3%,0.49
Kwasi Sibo,26,1686,0.00,0.02,-0.02,0.48,0.11,0.00%,0.04,3.90,34.1,8.7,1.23,8.1,0.4,0.00,0.00,0.05,0.00,1.81,0.80,4.38,0.32,1.92,5.60,2.24,40.0%,1.65,0.75,45.2%,36.25,31.44,86.8%,6.14,4.75,77.4%,0.11,0.00,0.0%,0.00
Kylian Mbappé,31,2604,0.86,0.83,0.04,5.05,2.18,17.12%,0.16,14.21,181.1,12.7,7.67,104.8,0.5,1.31,0.17,0.69,0.03,0.14,0.07,1.52,0.00,0.00,8.54,4.08,47.8%,0.35,0.24,70.0%,34.49,29.83,86.5%,21.01,17.42,82.9%,0.90,0.21,23.1%,0.24
Lamine Yamal,28,2268,0.63,0.51,0.13,4.64,1.47,13.68%,0.11,26.63,297.4,11.2,15.12,162.1,0.4,1.98,0.28,1.43,0.20,1.39,0.40,3.93,0.00,0.12,16.23,8.73,53.8%,0.20,0.00,0.0%,53.53,43.41,81.1%,30.12,22.58,75.0%,2.54,0.71,28.1%,0.87
Largie Ramazani,27,1224,0.44,0.51,-0.07,3.75,1.40,11.76%,0.14,12.43,153.9,12.4,7.35,87.1,0.9,1.32,0.15,0.51,0.07,1.03,1.03,3.75,0.00,0.59,11.10,4.12,37.1%,1.03,0.22,21.4%,23.16,17.21,74.3%,11.62,7.72,66.5%,2.06,0.44,21.4%,0.66
Leander Dendoncker,19,1332,0.07,0.05,0.01,0.61,0.27,11.11%,0.09,7.70,86.8,11.3,3.78,46.5,0.8,0.07,0.00,0.20,0.00,2.43,0.81,3.65,0.47,2.30,5.47,2.91,53.1%,2.84,1.55,54.8%,37.43,32.23,86.1%,8.11,6.15,75.8%,0.34,0.14,40.0%,0.07
Leandro Cabrera,37,3330,0.08,0.08,0.01,1.08,0.32,7.50%,0.07,6.11,53.8,8.8,3.16,29.1,0.2,0.00,0.00,0.00,0.00,0.97,0.70,2.30,0.73,5.89,2.95,1.32,45.0%,4.41,2.86,65.0%,40.84,32.84,80.4%,8.08,3.92,48.5%,0.54,0.08,15.0%,0.03
Lucas Ahijado,20,1091,0.00,0.08,-0.08,0.82,0.16,0.00%,0.09,11.63,141.9,12.2,6.10,62.0,0.8,0.00,0.00,0.33,0.08,3.79,1.40,4.04,0.33,2.56,8.41,5.36,63.7%,0.99,0.58,58.3%,35.22,28.13,79.9%,9.16,6.52,71.2%,1.32,0.41,31.3%,0.16
Lucas Beltrán,27,1366,0.07,0.27,-0.20,2.24,0.59,2.94%,0.12,8.83,98.9,11.2,4.81,43.1,0.6,0.33,0.00,0.33,0.07,1.45,0.26,3.29,0.07,0.86,10.34,5.07,49.0%,4.61,1.65,35.7%,25.76,20.16,78.3%,10.48,8.17,78.0%,0.59,0.13,22.2%,0.26
Lucas Boyé,29,1959,0.51,0.44,0.06,2.89,0.96,17.46%,0.15,7.95,83.6,10.5,4.00,37.2,0.4,0.69,0.05,0.37,0.05,1.65,0.32,2.94,0.28,0.87,13.14,5.15,39.2%,4.92,1.47,29.9%,19.16,14.01,73.1%,9.19,6.16,67.0%,0.41,0.00,0.0%,0.00
Lucas Torró,34,2307,0.00,0.06,-0.06,1.13,0.31,0.00%,0.06,6.09,56.6,9.3,1.95,12.7,0.3,0.08,0.00,0.08,0.00,1.52,1.09,4.21,0.31,1.79,5.23,2.89,55.2%,6.12,4.25,69.4%,38.70,28.87,74.6%,11.04,6.32,57.2%,0.08,0.00,0.0%,0.00
Lucien Agoumé,34,2693,0.03,0.03,0.00,0.50,0.07,6.67%,0.06,8.82,97.7,11.1,4.75,48.3,0.3,0.03,0.00,0.20,0.03,2.34,1.60,4.68,0.17,1.34,6.78,3.24,47.8%,3.17,1.80,56.8%,43.55,35.29,81.0%,15.61,11.10,71.1%,0.67,0.10,15.0%,0.30
Luis Milla,37,3273,0.03,0.03,-0.01,0.74,0.11,3.70%,0.05,6.79,73.0,10.8,3.41,32.3,0.3,0.03,0.00,0.25,0.05,1.65,1.15,5.72,0.19,1.40,6.38,3.38,53.0%,2.50,1.40,56.0%,38.11,29.70,77.9%,14.05,9.51,67.7%,1.46,0.30,20.8%,0.22
Luis Rioja,37,2636,0.10,0.08,0.02,1.47,0.17,6.98%,0.05,12.33,143.1,11.6,5.63,52.3,0.3,0.44,0.00,0.51,0.10,1.23,0.61,3.52,0.00,1.16,6.93,3.45,49.8%,0.79,0.14,17.4%,28.58,22.47,78.6%,12.50,8.95,71.6%,3.11,0.72,23.1%,0.00
Luis Vázquez,17,1204,0.22,0.15,0.07,1.87,0.67,12.00%,0.08,4.19,40.3,9.6,1.50,5.6,0.3,0.37,0.07,0.00,0.00,0.37,0.30,2.02,0.07,0.90,6.35,2.84,44.7%,7.77,3.44,44.2%,15.47,8.82,57.0%,7.55,3.89,51.5%,0.15,0.00,0.0%,0.00
Luiz Felipe,10,470,0.00,0.07,-0.07,0.57,0.19,0.00%,0.13,7.47,71.5,9.6,3.26,24.4,1.4,0.00,0.00,0.00,0.00,2.30,1.53,2.30,0.57,4.60,4.02,2.49,61.9%,3.26,1.72,52.9%,48.64,44.23,90.9%,2.30,0.96,41.7%,0.00,0.00,0.0%,0.00
Luka Ilic,19,738,0.12,0.08,0.04,1.10,0.61,11.11%,0.08,5.85,63.4,10.8,1.59,10.9,0.8,0.00,0.00,0.00,0.00,1.34,0.61,3.78,0.49,0.98,8.78,2.68,30.6%,1.71,0.73,42.9%,28.66,22.80,79.6%,9.63,6.46,67.1%,0.12,0.00,0.0%,0.24
Luka Sucic,22,1018,0.27,0.18,0.09,2.03,0.62,13.04%,0.09,16.62,175.7,10.6,7.34,51.0,0.6,0.35,0.00,0.53,0.09,1.68,0.44,3.80,0.09,1.33,7.51,3.45,45.9%,3.09,1.41,45.7%,40.93,32.53,79.5%,12.82,8.13,63.5%,0.53,0.00,0.0%,0.88
Léo Pétrot,32,1568,0.00,0.04,-0.04,0.46,0.00,0.00%,0.08,9.59,97.8,10.2,4.76,29.2,0.4,0.17,0.00,0.06,0.00,2.12,0.86,3.96,0.80,4.13,4.71,2.64,56.1%,2.93,1.95,66.7%,54.59,47.35,86.8%,9.13,7.06,77.4%,0.98,0.11,11.8%,0.00
Manu Fernández,14,759,0.00,0.01,-0.01,0.24,0.00,0.00%,0.03,13.99,145.0,10.4,8.54,94.3,1.3,0.12,0.00,0.12,0.00,1.54,0.95,3.79,0.36,4.03,4.15,2.49,60.0%,1.30,0.83,63.6%,59.76,53.83,90.1%,6.05,5.10,84.3%,0.00,0.00,0.0%,0.24
Manu Morlanes,32,1773,0.15,0.10,0.05,0.66,0.20,23.08%,0.15,10.91,109.7,10.1,6.14,52.8,0.4,0.15,0.05,0.10,0.00,2.84,0.96,4.92,0.10,1.12,7.36,3.86,52.4%,1.52,0.66,43.3%,48.07,42.94,89.3%,15.13,12.23,80.9%,0.56,0.10,18.2%,0.15
Manu Sánchez,33,2818,0.03,0.02,0.01,0.42,0.13,7.69%,0.06,9.13,102.3,11.2,5.49,58.7,0.3,0.03,0.00,0.10,0.03,2.59,1.02,3.39,0.16,2.62,6.90,3.64,52.8%,1.63,0.67,41.2%,29.35,23.92,81.5%,8.66,6.26,72.3%,2.24,0.45,20.0%,0.00
Marc Aguado,35,2514,0.04,0.01,0.03,0.11,0.07,33.33%,0.07,5.80,57.7,10.0,3.04,26.9,0.3,0.00,0.00,0.04,0.00,1.72,1.54,3.47,0.75,1.97,3.97,2.51,63.1%,0.93,0.32,34.6%,47.51,43.14,90.8%,9.31,7.95,85.4%,0.07,0.07,100.0%,0.00
Marc Bartra,25,1978,0.05,0.04,0.01,0.73,0.23,6.25%,0.05,12.42,125.4,10.1,7.60,81.9,0.5,0.14,0.00,0.05,0.00,2.05,1.23,3.55,1.09,7.23,4.69,2.82,60.2%,3.32,1.96,58.9%,53.01,45.86,86.5%,7.78,4.69,60.2%,0.14,0.05,33.3%,0.14
Marc Bernal,22,787,0.23,0.12,0.11,0.80,0.23,28.57%,0.15,15.55,133.8,8.6,5.60,49.6,1.0,0.11,0.00,0.00,0.00,2.97,1.37,3.32,0.23,2.17,9.49,5.49,57.8%,3.55,1.72,48.4%,67.47,62.10,92.0%,14.87,12.35,83.1%,0.11,0.00,0.0%,0.11
Marc Casadó,24,981,0.00,0.09,-0.09,1.01,0.00,0.00%,0.09,17.52,157.7,9.0,7.06,53.1,0.7,0.00,0.00,0.18,0.00,1.65,0.64,3.76,0.28,0.73,7.43,3.67,49.4%,1.19,0.64,53.8%,82.39,74.95,91.0%,19.72,16.24,82.3%,0.28,0.18,66.7%,0.28
Marc Pubill,19,1382,0.07,0.06,0.01,0.72,0.26,9.09%,0.08,14.59,156.3,10.7,7.88,86.3,0.7,0.13,0.00,0.13,0.00,1.63,1.30,3.91,0.98,5.54,4.36,2.80,64.2%,4.95,3.84,77.6%,59.52,52.42,88.1%,8.08,5.14,63.7%,0.52,0.13,25.0%,0.26
Marc Roca,29,2025,0.04,0.06,-0.02,0.76,0.31,5.88%,0.08,10.89,102.8,9.4,4.40,37.5,0.4,0.00,0.00,0.22,0.00,1.69,1.02,4.58,0.40,1.73,6.93,3.20,46.2%,1.11,0.40,36.0%,47.73,42.04,88.1%,11.82,9.02,76.3%,0.31,0.04,14.3%,0.31
Marcos Alonso,32,2770,0.03,0.07,-0.04,0.78,0.10,4.17%,0.09,24.60,281.7,11.5,15.43,185.2,0.4,0.10,0.00,0.13,0.00,1.33,0.91,5.00,0.55,5.23,4.45,2.53,56.9%,2.63,1.56,59.3%,77.26,69.69,90.2%,16.41,12.38,75.5%,0.62,0.19,31.6%,0.19
Marcos Llorente,29,2184,0.00,0.08,-0.08,0.74,0.25,0.00%,0.11,14.46,171.8,11.9,7.54,79.6,0.4,0.12,0.00,0.45,0.08,2.43,0.49,5.11,0.08,2.18,6.22,3.42,55.0%,0.95,0.41,43.5%,59.01,52.79,89.5%,17.51,14.42,82.3%,2.06,0.45,22.0%,0.16
Marcus Rashford,32,1761,0.41,0.38,0.03,3.88,1.48,10.53%,0.10,14.92,189.7,12.7,8.53,106.8,0.6,1.18,0.05,0.41,0.05,0.41,0.10,2.25,0.15,0.72,8.23,3.22,39.1%,0.51,0.20,40.0%,39.51,33.48,84.7%,23.10,18.86,81.6%,2.56,0.26,10.0%,0.10
Marcão,13,937,0.00,0.07,-0.07,0.96,0.19,0.00%,0.07,14.41,154.8,10.7,7.78,86.0,1.1,0.00,0.00,0.00,0.00,1.25,0.48,3.07,0.48,5.67,5.76,3.36,58.3%,4.90,2.59,52.9%,44.76,39.09,87.3%,5.67,2.98,52.5%,0.10,0.00,0.0%,0.10
Mario Martín,35,2134,0.08,0.11,-0.03,1.14,0.25,7.41%,0.10,6.28,63.8,10.2,2.49,18.1,0.3,0.17,0.00,0.08,0.04,2.36,0.63,3.12,0.21,1.22,10.80,4.39,40.6%,8.10,3.16,39.1%,24.00,17.54,73.1%,8.56,4.81,56.2%,0.55,0.08,15.4%,0.08
Martim Neto,25,1352,0.13,0.06,0.08,0.80,0.27,16.67%,0.07,11.98,146.3,12.2,5.72,71.5,0.8,0.20,0.00,0.20,0.00,1.40,0.13,3.86,0.07,0.87,7.12,3.53,49.5%,0.87,0.33,38.5%,40.07,35.21,87.9%,16.78,14.31,85.3%,1.20,0.33,27.8%,0.20
Martin Valjent,37,3309,0.00,0.02,-0.02,0.46,0.22,0.00%,0.05,13.90,149.3,10.7,7.48,75.0,0.3,0.05,0.00,0.00,0.00,1.36,0.60,2.45,0.41,6.58,3.10,1.74,56.1%,2.69,1.60,59.6%,48.52,42.29,87.2%,6.61,3.94,59.7%,0.05,0.00,0.0%,0.03
Martín Satriano,18,1604,0.34,0.24,0.09,1.96,0.79,17.14%,0.12,7.29,90.5,12.4,3.53,40.5,0.6,0.50,0.00,0.22,0.00,1.29,0.50,2.97,0.11,1.01,10.16,4.43,43.6%,6.23,2.30,36.9%,20.65,13.35,64.7%,9.82,6.23,63.4%,1.18,0.34,28.6%,0.11
Mateo Joseph,29,1703,0.11,0.27,-0.16,1.74,0.74,6.06%,0.15,6.98,80.7,11.6,3.86,41.8,0.6,0.58,0.00,0.16,0.05,1.53,0.63,3.44,0.21,1.27,8.88,4.12,46.4%,2.70,0.53,19.6%,15.96,13.00,81.5%,6.76,5.02,74.2%,0.74,0.21,28.6%,0.00
Mateu Morey,18,700,0.13,0.04,0.09,0.51,0.26,25.00%,0.08,7.33,67.6,9.2,3.21,18.3,0.7,0.00,0.00,0.13,0.00,2.44,0.90,3.73,0.39,3.86,8.61,4.24,49.3%,2.19,0.77,35.3%,30.99,23.66,76.3%,8.36,5.66,67.7%,1.80,0.77,42.9%,0.00
Matteo Ruggeri,26,1775,0.00,0.01,-0.01,0.25,0.10,0.00%,0.03,8.26,90.1,10.9,5.12,50.0,0.5,0.05,0.00,0.20,0.00,1.83,1.01,4.97,0.15,3.30,5.68,2.18,38.4%,2.23,1.32,59.1%,45.18,39.19,86.8%,15.57,12.98,83.4%,4.41,1.42,32.2%,0.15
Matías Moreno,28,2256,0.00,0.04,-0.04,0.40,0.00,0.00%,0.10,11.61,160.2,13.8,8.06,119.4,0.6,0.04,0.00,0.12,0.00,1.32,1.48,3.11,0.72,5.15,3.83,2.35,61.5%,3.51,1.99,56.8%,43.36,37.22,85.8%,6.46,3.87,59.9%,0.12,0.04,33.3%,0.04
Mauro Arambarri,37,3255,0.17,0.20,-0.03,1.63,0.53,10.17%,0.12,6.28,66.9,10.7,3.12,28.0,0.2,0.14,0.00,0.17,0.00,1.85,0.64,4.26,0.14,0.94,9.24,4.56,49.4%,3.35,1.58,47.1%,22.09,16.70,75.6%,8.07,5.03,62.3%,0.47,0.06,11.8%,0.11
Miguel Román,19,1310,0.07,0.06,0.01,0.55,0.07,12.50%,0.11,9.21,89.0,9.7,4.47,41.2,0.6,0.00,0.00,0.21,0.00,1.85,0.82,4.74,0.48,1.58,5.98,2.82,47.1%,1.44,0.69,47.6%,51.39,45.07,87.7%,12.37,9.34,75.6%,0.14,0.07,50.0%,0.69
Mikel Jauregizar,36,2843,0.06,0.06,0.01,1.23,0.35,5.13%,0.05,8.52,76.8,9.0,3.64,33.4,0.3,0.09,0.06,0.09,0.00,2.15,1.46,5.44,0.09,0.85,8.14,3.55,43.6%,2.56,1.46,56.8%,42.55,34.22,80.4%,15.64,11.11,71.0%,1.39,0.19,13.6%,0.13
Mikel Oyarzabal,34,2714,0.50,0.51,-0.01,2.62,1.19,18.99%,0.19,8.79,102.1,11.6,4.81,48.1,0.3,0.56,0.10,0.50,0.07,0.96,0.13,3.08,0.10,0.93,7.20,3.52,48.8%,3.71,1.29,34.8%,25.77,19.80,76.8%,11.37,7.76,68.2%,0.56,0.03,5.9%,0.46
Moi Gómez,26,1196,0.00,0.03,-0.03,0.83,0.15,0.00%,0.04,21.22,220.4,10.4,8.80,68.4,0.6,0.08,0.00,0.23,0.00,1.51,0.83,6.70,0.08,0.75,7.45,3.99,53.5%,1.43,0.90,63.2%,65.39,58.09,88.8%,24.08,20.47,85.0%,1.81,0.30,16.7%,0.08
Mouctar Diakhaby,8,544,0.17,0.09,0.08,0.66,0.50,25.00%,0.13,10.26,107.8,10.5,6.95,64.6,1.5,0.00,0.00,0.00,0.00,1.32,1.65,3.64,0.33,7.11,3.31,1.99,60.0%,3.64,2.65,72.7%,52.94,46.32,87.5%,5.63,2.81,50.0%,0.00,0.00,0.0%,0.00
Nacho Vidal,29,2272,0.00,0.09,-0.09,0.63,0.12,0.00%,0.14,7.13,75.6,10.6,3.72,31.8,0.3,0.08,0.00,0.08,0.00,1.78,1.23,3.21,0.24,3.13,6.14,3.33,54.2%,1.66,0.87,52.4%,36.36,29.51,81.2%,8.04,5.19,64.5%,1.62,0.20,12.2%,0.08
Nahuel Molina,26,1321,0.14,0.03,0.10,0.95,0.27,14.29%,0.03,10.42,119.1,11.4,6.54,71.3,0.7,0.00,0.00,0.34,0.14,2.73,0.89,5.45,0.34,2.18,7.77,4.09,52.6%,1.50,0.48,31.8%,47.62,38.36,80.5%,14.17,10.49,74.0%,2.93,0.68,23.3%,0.07
Nahuel Tenaglia,36,3239,0.06,0.04,0.01,0.67,0.22,8.33%,0.07,9.42,104.8,11.1,5.25,58.1,0.3,0.11,0.00,0.00,0.00,1.83,1.28,3.22,0.81,5.00,5.14,3.28,63.8%,2.72,1.33,49.0%,37.85,32.70,86.4%,5.64,3.47,61.6%,0.47,0.08,17.6%,0.00
